
[00/00/0000 00:00:05] Ti:22.2 | Te:23.1 | H:72.6% | pH:11.55 L:0
[00/00/0000 00:00:10] Ti:22.3 | Te:23.2 | H:72.7% | pH:11.55 L:0
[00/00/0000 00:00:15] Ti:22.2 | Te:23.1 | H:72.6% | pH:11.55 L:0
[00/00/0000 00:00:20] Ti:22.2 | Te:23.1 | H:72.5% | pH:11.55 L:0
[00/00/0000 00:00:25] Ti:22.2 | Te:23.1 | H:72.3% | pH:11.55 L:0
[00/00/0000 00:00:30] Ti:22.3 | Te:23.1 | H:72.5% | pH:11.55 L:0
[07/04/2026 00:16:35] Ti:22.2 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:16:41] Ti:22.3 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:16:47] Ti:22.3 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:16:53] Ti:22.3 | Te:23.1 | H:72.4% | pH:11.55 L:0
[00/00/0000 00:00:05] Ti:22.3 | Te:23.1 | H:72.8% | pH:11.55 L:0
[00/00/0000 00:00:10] Ti:22.3 | Te:23.1 | H:72.5% | pH:11.55 L:0
[00/00/0000 00:00:15] Ti:22.3 | Te:23.2 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:18:37] Ti:22.3 | Te:23.2 | H:72.7% | pH:11.55 L:0
[07/04/2026 00:18:43] Ti:22.2 | Te:23.2 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:18:49] Ti:22.2 | Te:23.1 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:18:55] Ti:22.3 | Te:23.2 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:19:01] Ti:22.3 | Te:23.2 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:19:06] Ti:22.3 | Te:23.2 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:19:11] Ti:22.3 | Te:23.2 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:25:41] Ti:22.2 | Te:23.0 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:25:47] Ti:22.3 | Te:23.0 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:25:53] Ti:22.3 | Te:23.0 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:25:59] Ti:22.3 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:26:04] Ti:22.3 | Te:23.0 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:26:09] Ti:22.3 | Te:23.0 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:26:14] Ti:22.4 | Te:23.0 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:26:19] Ti:22.4 | Te:23.0 | H:72.4% | pH:11.55 L:0
